名前,No/ぜんこく,No/セントラル,タイプ/0,タイプ/1,進化/0/Lv,進化/0/名前,進化/1/Lv,進化/1/名前,進化/2/Lv,進化/2/名前,種族値/H,種族値/A,種族値/B,種族値/C,種族値/D,種族値/S,種族値/平均,種族値/合計,努力値/H,努力値/A,努力値/B,努力値/C,努力値/D,努力値/S,隠しデータ/捕獲率,隠しデータ/初期なつき,隠しデータ/オス率,隠しデータ/メス率,タマゴ/歩数,タマゴ/グループ/0,タマゴ/グループ/1,特性/通常/0/名前,特性/通常/0/説明,特性/隠れ/名前,特性/隠れ/説明,特性/通常/1/名前,特性/通常/1/説明,No/マウンテン/str,No/マウンテン/num,No/ホウエン/str,No/ホウエン/num,No/コースト/str,No/コースト/num,進化/3/Lv,進化/3/名前,進化/4/Lv,進化/4/名前,進化/5/Lv,進化/5/名前,進化/6/Lv,進化/6/名前,進化/7/Lv,進化/7/名前,進化/8/Lv,進化/8/名前,特性/通常/2/名前,特性/通常/2/説明
カメール,008,087,みず,,1,ゼニガメ,16,カメール,36,カメックス,59,63,80,65,80,58,67.5,405,0,0,1,0,1,0,45,70,87.5,12.5,5120,怪獣,水中1,げきりゅう,HPが1/3以下の時、『みず』タイプの技の威力が1.5倍になる。,あめうけざら,天気が『あめ』の時毎ターン、HPが最大HPの1/16回復する。,,,,,,,,,,,,,,,,,,,,,,
カメックス,009,088,みず,,1,ゼニガメ,16,カメール,36,カメックス,79,83,100,85,105,78,88.3,530,0,0,0,0,3,0,45,70,87.5,12.5,5120,怪獣,水中1,げきりゅう,HPが1/3以下の時、『みず』タイプの技の威力が1.5倍になる。,あめうけざら,天気が『あめ』の時毎ターン、HPが最大HPの1/16回復する。,,,,,,,,,,,,,,,,,,,,,,
メガカメックス,009,088,みず,,1,ゼニガメ,16,カメール,36,カメックス,79,103,120,135,115,78,105,630,0,0,0,0,3,0,45,70,87.5,12.5,5120,怪獣,水中1,メガランチャー,波動系の技『あくのはどう』『はどうだん』『みずのはどう』『りゅうのはどう』の技の威力が1.5倍になり、『いやしのはどう』は最大HPの3/4回復する。,,,,,,,,,,,,,,,,,,,,,,,,
キャタピー,010,023,むし,,1,キャタピー,7,トランセル,10,バタフリー,45,30,35,20,20,45,32.5,195,1,0,0,0,0,0,255,70,50,50,3840,虫,,りんぷん,技の追加効果を受けない。,にげあし,野生のポケモンとの戦闘の場合、必ず逃げられる。,,,,,,,,,,,,,,,,,,,,,,
トランセル,011,024,むし,,1,キャタピー,7,トランセル,10,バタフリー,50,20,55,25,25,30,34.2,205,0,0,2,0,0,0,120,70,50,50,3840,虫,,だっぴ,ターンごとに1/3の確率で状態異常が治る。,,,,,,,,,,,,,,,,,,,,,,,,
バタフリー,012,025,むし,ひこう,1,キャタピー,7,トランセル,10,バタフリー,60,45,50,90,80,70,65.8,395,0,0,0,2,1,0,45,70,50,50,3840,虫,,ふくがん,命中率が1.3倍になる。／『てもち』の先頭にいると道具を持った野生のポケモンと出会いやすくなる。,いろめがね,自分の技のタイプ相性が『こうかは いまひとつのようだ』の場合、1/2倍の時は通常に、1/4倍の時は1/2倍になる。,,,,,,,,,,,,,,,,,,,,,,
ビードル,013,026,むし,どく,1,ビードル,7,コクーン,10,スピアー,40,35,30,20,20,50,32.5,195,0,0,0,0,0,1,255,70,50,50,3840,虫,,りんぷん,技の追加効果を受けない。,にげあし,野生のポケモンとの戦闘の場合、必ず逃げられる。,,,,,,,,,,,,,,,,,,,,,,
コクーン,014,027,むし,どく,1,ビードル,7,コクーン,10,スピアー,45,25,50,25,25,35,34.2,205,0,0,2,0,0,0,120,70,50,50,3840,虫,,だっぴ,ターンごとに1/3の確率で状態異常が治る。,,,,,,,,,,,,,,,,,,,,,,,,
スピアー,015,028,むし,どく,1,ビードル,7,コクーン,10,スピアー,65,90,40,45,80,75,65.8,395,0,2,0,0,1,0,45,70,50,50,3840,虫,,むしのしらせ,HPが1/3以下の時、『むし』タイプの技の威力が1.5倍になる。,スナイパー,自分の攻撃が急所に当たると、ダメージが1.5倍ではなく2.25倍になる。,,,,,,,,,,,,,,,,,,,,,,
メガスピアー,015,028,むし,どく,1,ビードル,7,コクーン,10,スピアー,65,150,40,15,80,145,82.5,495,0,2,0,0,1,0,45,70,50,50,3840,虫,,てきおうりょく,自分の『タイプ』と同じ『タイプ』の技のダメージが1.5倍ではなく2倍になる。,,,,,,,,,,,,,,,,,,,,,,,,
ポッポ,016,017,ノーマル,ひこう,1,ポッポ,18,ピジョン,36,ピジョット,40,45,40,35,35,56,41.8,251,0,0,0,0,0,1,255,70,50,50,3840,飛行,,するどいめ,命中率ランクが下がらない。相手の回避率ランクが上がっていても、影響を受けない。／レベルの低い野生のポケモンと出会いにくくなる。,はとむね,相手の『ぼうぎょ』ランクを下げる技や特性の効果を受けない。,ちどりあし,『こんらん』状態の時、回避率が上がる。,,,,,,,,,,,,,,,,,,,,
ピジョン,017,018,ノーマル,ひこう,1,ポッポ,18,ピジョン,36,ピジョット,63,60,55,50,50,71,58.2,349,0,0,0,0,0,2,120,70,50,50,3840,飛行,,するどいめ,命中率ランクが下がらない。相手の回避率ランクが上がっていても、影響を受けない。／レベルの低い野生のポケモンと出会いにくくなる。,はとむね,相手の『ぼうぎょ』ランクを下げる技や特性の効果を受けない。,ちどりあし,『こんらん』状態の時、回避率が上がる。,,,,,,,,,,,,,,,,,,,,
ピジョット,018,019,ノーマル,ひこう,1,ポッポ,18,ピジョン,36,ピジョット,83,80,75,70,70,101,79.8,479,0,0,0,0,0,3,45,70,50,50,3840,飛行,,するどいめ,命中率ランクが下がらない。相手の回避率ランクが上がっていても、影響を受けない。／レベルの低い野生のポケモンと出会いにくくなる。,はとむね,相手の『ぼうぎょ』ランクを下げる技や特性の効果を受けない。,ちどりあし,『こんらん』状態の時、回避率が上がる。,,,,,,,,,,,,,,,,,,,,
メガピジョット,018,019,ノーマル,ひこう,1,ポッポ,18,ピジョン,36,ピジョット,83,80,80,135,80,121,96.5,579,0,0,0,0,0,3,45,70,50,50,3840,飛行,,ノーガード,お互いに技が命中率・回避率に関係なく必ず命中する。／野生のポケモンと出会いやすくなる。,,,,,,,,,,,,,,,,,,,,,,,,
コラッタ,019,,ノーマル,,1,コラッタ,20,ラッタ,,,30,56,35,25,35,72,42.2,253,0,0,0,0,0,1,255,70,50,50,3840,陸上,,にげあし,野生のポケモンとの戦闘の場合、必ず逃げられる。,はりきり,『こうげき』が1.5倍になるが、物理攻撃の命中率が0.8倍になる。／レベルの高い野生のポケモンと出会いやすくなる。,こんじょう,状態異常の時、『こうげき』が1.5倍になる。またその時、『やけど』状態による『こうげき』半減の効果を受けない。,,,,,,,,,,,,,,,,,,,,
ラッタ,020,,ノーマル,,1,コラッタ,20,ラッタ,,,55,81,60,50,70,97,68.8,413,0,0,0,0,0,2,127,70,50,50,3840,陸上,,にげあし,野生のポケモンとの戦闘の場合、必ず逃げられる。,はりきり,『こうげき』が1.5倍になるが、物理攻撃の命中率が0.8倍になる。／レベルの高い野生のポケモンと出会いやすくなる。,こんじょう,状態異常の時、『こうげき』が1.5倍になる。またその時、『やけど』状態による『こうげき』半減の効果を受けない。,,,,,,,,,,,,,,,,,,,,
オニスズメ,021,,ノーマル,ひこう,1,オニスズメ,20,オニドリル,,,40,60,30,31,31,70,43.7,262,0,0,0,0,0,1,255,70,50,50,3840,飛行,,するどいめ,命中率ランクが下がらない。相手の回避率ランクが上がっていても、影響を受けない。／レベルの低い野生のポケモンと出会いにくくなる。,スナイパー,自分の攻撃が急所に当たると、ダメージが1.5倍ではなく2.25倍になる。,,,109,109,,,,,,,,,,,,,,,,,,
オニドリル,022,,ノーマル,ひこう,1,オニスズメ,20,オニドリル,,,65,90,65,61,61,100,73.7,442,0,0,0,0,0,2,90,70,50,50,3840,飛行,,するどいめ,命中率ランクが下がらない。相手の回避率ランクが上がっていても、影響を受けない。／レベルの低い野生のポケモンと出会いにくくなる。,スナイパー,自分の攻撃が急所に当たると、ダメージが1.5倍ではなく2.25倍になる。,,するどいくちばし,110,110,,,,,,,,,,,,,,,,,,
アーボ,023,,どく,,1,アーボ,22,アーボック,,,35,60,44,40,54,55,48,288,0,1,0,0,0,0,255,70,50,50,5120,陸上,ドラゴン,いかく,戦闘に出たときに相手の『こうげき』ランクを1段階下げる。／レベルの低い野生のポケモンと出会いにくくなる。,きんちょうかん,すべての相手は『きのみ』を使用できなくなる。,だっぴ,ターンごとに1/3の確率で状態異常が治る。,037,37,,,,,,,,,,,,,,,,,,
アーボック,024,,どく,,1,アーボ,22,アーボック,,,60,85,69,65,79,80,73,438,0,2,0,0,0,0,90,70,50,50,5120,陸上,ドラゴン,いかく,戦闘に出たときに相手の『こうげき』ランクを1段階下げる。／レベルの低い野生のポケモンと出会いにくくなる。,きんちょうかん,すべての相手は『きのみ』を使用できなくなる。,だっぴ,ターンごとに1/3の確率で状態異常が治る。,038,38,,,,,,,,,,,,,,,,,,
ピカチュウ,025,036,でんき,,1,ピチュー,1,ピカチュウ,1,ライチュウ,35,55,40,50,50,90,53.3,320,0,0,0,0,0,2,190,70,50,50,2560,陸上,妖精,せいでんき,直接攻撃を受けると、30%の確率で相手を『まひ』状態にする。／『でんき』タイプの野生のポケモンと出会いやすくなる。,ひらいしん,『でんき』タイプの技を受けるとダメージが無効化され、逆に『とくこう』ランクが1段階上がる。またダブルバトル・トリプルバトルの時、自分以外の全てのポケモンの『でんき』タイプの技の攻撃対象が自分になる。,,でんきだま,,,163,163,,,,,,,,,,,,,,,,
ライチュウ,026,037,でんき,,1,ピチュー,1,ピカチュウ,1,ライチュウ,60,90,55,90,80,110,80.8,485,0,0,0,0,0,3,75,70,50,50,2560,陸上,妖精,せいでんき,直接攻撃を受けると、30%の確率で相手を『まひ』状態にする。／『でんき』タイプの野生のポケモンと出会いやすくなる。,ひらいしん,『でんき』タイプの技を受けるとダメージが無効化され、逆に『とくこう』ランクが1段階上がる。またダブルバトル・トリプルバトルの時、自分以外の全てのポケモンの『でんき』タイプの技の攻撃対象が自分になる。,,,,,164,164,,,,,,,,,,,,,,,,
サンド,027,,じめん,,1,サンド,22,サンドパン,,,50,75,85,20,30,40,50,300,0,0,1,0,0,0,255,70,50,50,5120,陸上,,すながくれ,天気が『すなあらし』の時、回避率が上がる。また、『すなあらし』によるダメージを受けない。／フィールドの天気が『すなあらし』の時、野生のポケモンと出会いにくくなる。,すなかき,天気が『すなあらし』の時、『すばやさ』が2倍になる。また、『すなあらし』によるダメージを受けない。,,ねばりのかぎづめ,097,97,117,117,,,,,,,,,,,,,,,,
サンドパン,028,,じめん,,1,サンド,22,サンドパン,,,75,100,110,45,55,65,75,450,0,0,2,0,0,0,90,70,50,50,5120,陸上,,すながくれ,天気が『すなあらし』の時、回避率が上がる。また、『すなあらし』によるダメージを受けない。／フィールドの天気が『すなあらし』の時、野生のポケモンと出会いにくくなる。,すなかき,天気が『すなあらし』の時、『すばやさ』が2倍になる。また、『すなあらし』によるダメージを受けない。,,せんせいのツメ,098,98,118,118,,,,,,,,,,,,,,,,
ニドラン♀,029,,どく,,1,ニドラン♀,16,ニドリーナ,1,ニドクイン,55,47,52,40,40,41,45.8,275,1,0,0,0,0,0,235,70,,100,5120,怪獣,陸上,どくのトゲ,直接攻撃を受けると、30%の確率で相手を『どく』状態にする。,はりきり,『こうげき』が1.5倍になるが、物理攻撃の命中率が0.8倍になる。／レベルの高い野生のポケモンと出会いやすくなる。,とうそうしん,性別が同じ相手に対しては『こうげき』『とくこう』が1.25倍になるが、異なる場合は0.75倍になる。性別のないポケモンの場合は効果がない。,,,,,104,104,,,,,,,,,,,,,,
ニドリーナ,030,,どく,,1,ニドラン♀,16,ニドリーナ,1,ニドクイン,70,62,67,55,55,56,60.8,365,2,0,0,0,0,0,120,70,,100,5120,タマゴ未発見,,どくのトゲ,直接攻撃を受けると、30%の確率で相手を『どく』状態にする。,はりきり,『こうげき』が1.5倍になるが、物理攻撃の命中率が0.8倍になる。／レベルの高い野生のポケモンと出会いやすくなる。,とうそうしん,性別が同じ相手に対しては『こうげき』『とくこう』が1.25倍になるが、異なる場合は0.75倍になる。性別のないポケモンの場合は効果がない。,,,,,105,105,,,,,,,,,,,,,,
ニドクイン,031,,どく,じめん,1,ニドラン♀,16,ニドリーナ,1,ニドクイン,90,92,87,75,85,76,84.2,505,3,0,0,0,0,0,45,70,,100,5120,タマゴ未発見,,どくのトゲ,直接攻撃を受けると、30%の確率で相手を『どく』状態にする。,ちからずく,追加効果のある技を使うと、追加効果が発動しない代わりに威力が1.3倍になる。,とうそうしん,性別が同じ相手に対しては『こうげき』『とくこう』が1.25倍になるが、異なる場合は0.75倍になる。性別のないポケモンの場合は効果がない。,,,,,106,106,,,,,,,,,,,,,,
ニドラン♂,032,,どく,,1,ニドラン♂,16,ニドリーノ,1,ニドキング,46,57,40,40,40,50,45.5,273,0,1,0,0,0,0,235,70,100,,5120,怪獣,陸上,どくのトゲ,直接攻撃を受けると、30%の確率で相手を『どく』状態にする。,はりきり,『こうげき』が1.5倍になるが、物理攻撃の命中率が0.8倍になる。／レベルの高い野生のポケモンと出会いやすくなる。,とうそうしん,性別が同じ相手に対しては『こうげき』『とくこう』が1.25倍になるが、異なる場合は0.75倍になる。性別のないポケモンの場合は効果がない。,,,,,107,107,,,,,,,,,,,,,,
ニドリーノ,033,,どく,,1,ニドラン♂,16,ニドリーノ,1,ニドキング,61,72,57,55,55,65,60.8,365,0,2,0,0,0,0,120,70,100,,5120,怪獣,陸上,どくのトゲ,直接攻撃を受けると、30%の確率で相手を『どく』状態にする。,はりきり,『こうげき』が1.5倍になるが、物理攻撃の命中率が0.8倍になる。／レベルの高い野生のポケモンと出会いやすくなる。,とうそうしん,性別が同じ相手に対しては『こうげき』『とくこう』が1.25倍になるが、異なる場合は0.75倍になる。性別のないポケモンの場合は効果がない。,,,,,108,108,,,,,,,,,,,,,,
ニドキング,034,,どく,じめん,1,ニドラン♂,16,ニドリーノ,1,ニドキング,81,102,77,85,75,85,84.2,505,0,3,0,0,0,0,45,70,100,,5120,怪獣,陸上,どくのトゲ,直接攻撃を受けると、30%の確率で相手を『どく』状態にする。,ちからずく,追加効果のある技を使うと、追加効果が発動しない代わりに威力が1.3倍になる。,とうそうしん,性別が同じ相手に対しては『こうげき』『とくこう』が1.25倍になるが、異なる場合は0.75倍になる。性別のないポケモンの場合は効果がない。,,,,,109,109,,,,,,,,,,,,,,
ピッピ,035,,フェアリー,,1,ピィ,1,ピッピ,1,ピクシー,70,45,48,60,65,35,53.8,323,2,0,0,0,0,0,150,140,25,75,2560,妖精,,メロメロボディ,直接攻撃を受けると、30%の確率で相手を『メロメロ』状態にする。性別が同じ場合や、性別不明の場合は効果がない。／異なる性別の野生のポケモンと出会いやすくなる。,フレンドガード,自分以外の味方が受けるダメージが3/4に軽減される。(ダブルバトル・トリプルバトル用),マジックガード,直接のダメージ以外を受けない。具体的には、『どく』『やけど』状態や特性『さめはだ』『てつのトゲ』『ヘドロえき』『ゆうばく』、天気『あられ』『すなあらし』、技『あくむ』『うずしお』『からではさむ』『しめつける』『ステルスロック』『すなじごく』『どくびし』『のろい』『はじけるほのお』『ふんじん』『ほのおのうず』『ほのおのちかい』『まきつく』『まきびし』『マグマストーム』『まとわりつく』『やどりぎのタネ』によるダメージ、反動のある技による反動ダメージや失敗時に受けるダメージ、道具『いのちのたま』『くっつきバリ』『くろいヘドロ』『ゴツゴツメット』の効果によるダメージを受けない。ただし『こんらん』『じばく』『だいばくはつ』『わるあがき』などには影響しない。,,,,,,,,,,,,,,,,,,,,
ピクシー,036,,フェアリー,,1,ピィ,1,ピッピ,1,ピクシー,95,70,73,95,90,60,80.5,483,3,0,0,0,0,0,25,140,25,75,2560,妖精,,メロメロボディ,直接攻撃を受けると、30%の確率で相手を『メロメロ』状態にする。性別が同じ場合や、性別不明の場合は効果がない。／異なる性別の野生のポケモンと出会いやすくなる。,てんねん,相手の『のうりょく』ランクの変化の影響を受けない。,マジックガード,直接のダメージ以外を受けない。具体的には、『どく』『やけど』状態や特性『さめはだ』『てつのトゲ』『ヘドロえき』『ゆうばく』、天気『あられ』『すなあらし』、技『あくむ』『うずしお』『からではさむ』『しめつける』『ステルスロック』『すなじごく』『どくびし』『のろい』『はじけるほのお』『ふんじん』『ほのおのうず』『ほのおのちかい』『まきつく』『まきびし』『マグマストーム』『まとわりつく』『やどりぎのタネ』によるダメージ、反動のある技による反動ダメージや失敗時に受けるダメージ、道具『いのちのたま』『くっつきバリ』『くろいヘドロ』『ゴツゴツメット』の効果によるダメージを受けない。ただし『こんらん』『じばく』『だいばくはつ』『わるあがき』などには影響しない。,,,,,,,,,,,,,,,,,,,,
ロコン,037,,ほのお,,1,ロコン,1,キュウコン,,,38,41,40,50,65,65,49.8,299,0,0,0,0,0,1,190,70,25,75,5120,陸上,,もらいび,『ほのお』タイプの技のダメージや効果を受けず、以後自分の『ほのお』タイプの技の威力が1.5倍になる。,ひでり,戦闘に出ると5ターンの間、天気が『ひざしがつよい』になる。,,もくたん,,,160,160,,,,,,,,,,,,,,,,
キュウコン,038,,ほのお,,1,ロコン,1,キュウコン,,,73,76,75,81,100,100,84.2,505,0,0,0,0,1,1,75,70,25,75,5120,陸上,,もらいび,『ほのお』タイプの技のダメージや効果を受けず、以後自分の『ほのお』タイプの技の威力が1.5倍になる。,ひでり,戦闘に出ると5ターンの間、天気が『ひざしがつよい』になる。,,,,,161,161,,,,,,,,,,,,,,,,
プリン,039,,ノーマル,フェアリー,1,ププリン,1,プリン,1,プクリン,115,45,20,45,25,20,45,270,2,0,0,0,0,0,170,70,25,75,2560,妖精,,メロメロボディ,直接攻撃を受けると、30%の確率で相手を『メロメロ』状態にする。性別が同じ場合や、性別不明の場合は効果がない。／異なる性別の野生のポケモンと出会いやすくなる。,フレンドガード,自分以外の味方が受けるダメージが3/4に軽減される。(ダブルバトル・トリプルバトル用),かちき,相手の技や特性で『のうりょく』ランクが下がると、『とくこう』ランクが2段階上がる。,120,120,143,143,,,,,,,,,,,,,,,,
プクリン,040,,ノーマル,フェアリー,1,ププリン,1,プリン,1,プクリン,140,70,45,85,50,45,72.5,435,3,0,0,0,0,0,50,70,25,75,2560,妖精,,メロメロボディ,直接攻撃を受けると、30%の確率で相手を『メロメロ』状態にする。性別が同じ場合や、性別不明の場合は効果がない。／異なる性別の野生のポケモンと出会いやすくなる。,おみとおし,戦闘に出てきた時、すべての相手の持っている道具の名前が分かる。,かちき,相手の技や特性で『のうりょく』ランクが下がると、『とくこう』ランクが2段階上がる。,121,121,144,144,,,,,,,,,,,,,,,,
ズバット,041,145,どく,ひこう,1,ズバット,22,ゴルバット,1,クロバット,40,45,35,30,40,55,40.8,245,0,0,0,0,0,1,255,70,50,50,3840,飛行,,せいしんりょく,相手の技で『ひるみ』状態にならない。技『きあいパンチ』には影響しない。,すりぬけ,相手の『リフレクター』『ひかりのかべ』『しろいきり』『しんぴのまもり』『みがわり』の効果を受けない。,,,,,065,65,,,,,,,,,,,,,,,,
ゴルバット,042,146,どく,ひこう,1,ズバット,22,ゴルバット,1,クロバット,75,80,70,65,75,90,75.8,455,0,0,0,0,0,2,90,70,50,50,3840,飛行,,せいしんりょく,相手の技で『ひるみ』状態にならない。技『きあいパンチ』には影響しない。,すりぬけ,相手の『リフレクター』『ひかりのかべ』『しろいきり』『しんぴのまもり』『みがわり』の効果を受けない。,,,,,066,66,,,,,,,,,,,,,,,,
ナゾノクサ,043,105,くさ,どく,1,ナゾノクサ,21,クサイハナ,1,ラフレシア,45,50,55,75,65,30,53.3,320,0,0,0,1,0,0,255,70,50,50,5120,植物,,ようりょくそ,天気が『ひざしがつよい』の時、『すばやさ』が2倍になる。,にげあし,野生のポケモンとの戦闘の場合、必ず逃げられる。,,きゅうこん,,,091,91,,,1,キレイハナ,,,,,,,,,,,,
クサイハナ,044,106,くさ,どく,1,ナゾノクサ,21,クサイハナ,1,ラフレシア,60,65,70,85,75,40,65.8,395,0,0,0,2,0,0,120,70,50,50,5120,植物,,ようりょくそ,天気が『ひざしがつよい』の時、『すばやさ』が2倍になる。,あくしゅう,相手に技のダメージを与えると、10%の確率でひるませる。／野生のポケモンと出会いにくくなる。,,きゅうこん,,,092,92,,,1,キレイハナ,,,,,,,,,,,,
ラフレシア,045,107,くさ,どく,1,ナゾノクサ,21,クサイハナ,1,ラフレシア,75,80,85,110,90,50,81.7,490,0,0,0,3,0,0,45,70,50,50,5120,植物,,ようりょくそ,天気が『ひざしがつよい』の時、『すばやさ』が2倍になる。,ほうし,直接攻撃を受けると、30%の確率で相手を『どく』『まひ』『ねむり』状態のいずれかにする。,,,,,093,93,,,1,キレイハナ,,,,,,,,,,,,
パラス,046,,むし,くさ,1,パラス,24,パラセクト,,,35,70,55,45,55,25,47.5,285,0,1,0,0,0,0,190,70,50,50,5120,虫,植物,ほうし,直接攻撃を受けると、30%の確率で相手を『どく』『まひ』『ねむり』状態のいずれかにする。,しめりけ,全てのポケモンは技『じばく』『だいばくはつ』及び、特性『ゆうばく』が無効になる。,かんそうはだ,『ほのお』タイプの技の受けるダメージが1.25倍になる。『みず』タイプの技を受けると、ダメージを受けずHPが最大HPの1/4回復する。また、天気が『ひざしがつよい』の時は毎ターン最大HPの1/8のダメージを受け、『あめ』の時は毎ターンHPが最大HPの1/8回復する。,,,,,,,,,,,,,,,,,,,,
パラセクト,047,,むし,くさ,1,パラス,24,パラセクト,,,60,95,80,60,80,30,67.5,405,0,2,1,0,0,0,75,70,50,50,5120,虫,植物,ほうし,直接攻撃を受けると、30%の確率で相手を『どく』『まひ』『ねむり』状態のいずれかにする。,しめりけ,全てのポケモンは技『じばく』『だいばくはつ』及び、特性『ゆうばく』が無効になる。,かんそうはだ,『ほのお』タイプの技の受けるダメージが1.25倍になる。『みず』タイプの技を受けると、ダメージを受けずHPが最大HPの1/4回復する。また、天気が『ひざしがつよい』の時は毎ターン最大HPの1/8のダメージを受け、『あめ』の時は毎ターンHPが最大HPの1/8回復する。,,,,,,,,,,,,,,,,,,,,
コンパン,048,,むし,どく,1,コンパン,31,モルフォン,,,60,55,50,40,55,45,50.8,305,0,0,0,0,1,0,190,70,50,50,5120,虫,,ふくがん,命中率が1.3倍になる。／『てもち』の先頭にいると道具を持った野生のポケモンと出会いやすくなる。,にげあし,野生のポケモンとの戦闘の場合、必ず逃げられる。,いろめがね,自分の技のタイプ相性が『こうかは いまひとつのようだ』の場合、1/2倍の時は通常に、1/4倍の時は1/2倍になる。,,,,,,,,,,,,,,,,,,,,
